País,Clics,Impresiones,CTR,Posición
España,215,100373,0.21%,25.01
México,22,3083,0.71%,33.81
Colombia,8,1697,0.47%,43
Perú,5,579,0.86%,15.94
Argentina,3,468,0.64%,26.04
Ecuador,3,225,1.33%,7.42
Italia,3,115,2.61%,11.14
Estados Unidos,2,2126,0.09%,21.48
Chile,2,468,0.43%,36.81
Venezuela,2,340,0.59%,17.48
Reino Unido,1,879,0.11%,40.2
Brasil,1,203,0.49%,29.12
Alemania,1,197,0.51%,17.66
República Dominicana,1,122,0.82%,6.23
Paraguay,1,52,1.92%,5.6
Nicaragua,1,37,2.7%,4.54
Emiratos Árabes Unidos,1,23,4.35%,15.87
Marruecos,1,21,4.76%,26.81
Taiwán,1,18,5.56%,31.89
Austria,1,15,6.67%,10.33
Bélgica,1,13,7.69%,6.46
Finlandia,1,6,16.67%,11.33
Francia,0,676,0%,23.06
La India,0,223,0%,26.89
Guatemala,0,148,0%,30.94
Canadá,0,136,0%,15.49
Irlanda,0,127,0%,18.35
Bolivia,0,110,0%,7.48
Indonesia,0,105,0%,31.58
Vietnam,0,105,0%,40.2
Panamá,0,97,0%,36.04
Filipinas,0,97,0%,36.8
Suiza,0,91,0%,18.46
Rusia,0,84,0%,32.6
Rumanía,0,56,0%,15.54
Turquía,0,55,0%,13.55
Corea del Sur,0,50,0%,32.26
El Salvador,0,47,0%,9.79
Costa Rica,0,42,0%,9.21
Países Bajos,0,42,0%,12.21
Tailandia,0,41,0%,27.1
Japón,0,40,0%,20.48
Bangladés,0,39,0%,32.54
Ucrania,0,39,0%,40
Pakistán,0,37,0%,37.49
Honduras,0,33,0%,12.06
Bulgaria,0,33,0%,19.21
Croacia,0,32,0%,13
Malasia,0,32,0%,28.97
Polonia,0,31,0%,18.03
Egipto,0,30,0%,37.3
Arabia Saudí,0,29,0%,20.66
Argelia,0,29,0%,29.55
Uruguay,0,23,0%,12.17
Australia,0,19,0%,15.11
Hungría,0,19,0%,16.95
Puerto Rico,0,17,0%,9.06
Irán,0,17,0%,18.47
Israel,0,17,0%,27.76
Sudáfrica,0,16,0%,40.69
Serbia,0,15,0%,22.8
Iraq,0,15,0%,24.27
Portugal,0,14,0%,14.79
Chequia,0,14,0%,31.07
Guinea Ecuatorial,0,12,0%,3.75
Bosnia y Herzegovina,0,12,0%,7.67
Kenia,0,11,0%,21.09
Gibraltar,0,10,0%,10.3
Nueva Zelanda,0,10,0%,11
Dinamarca,0,10,0%,11.8
Lituania,0,10,0%,12.7
Túnez,0,10,0%,24.6
Sri Lanka,0,10,0%,24.8
Nigeria,0,10,0%,40
Camboya,0,10,0%,47.4
Suecia,0,9,0%,14
Georgia,0,9,0%,23.56
Bielorrusia,0,9,0%,29.22
Kirguistán,0,9,0%,47.11
Nepal,0,8,0%,13
Región desconocida,0,8,0%,31.75
Estonia,0,7,0%,7.43
Eslovaquia,0,7,0%,13
Grecia,0,7,0%,15.57
Angola,0,7,0%,18
Armenia,0,7,0%,24.71
Etiopía,0,7,0%,39.43
Singapur,0,6,0%,13.5
Letonia,0,6,0%,38.5
Kazajistán,0,6,0%,39.5
Uzbekistán,0,6,0%,41.17
Noruega,0,5,0%,17.6
Omán,0,5,0%,17.6
Myanmar (Birmania),0,5,0%,36
Ghana,0,5,0%,41.6
Cuba,0,4,0%,6
Gabón,0,4,0%,9.5
Andorra,0,4,0%,19.75
Guyana,0,4,0%,22.75
Macedonia del Norte,0,4,0%,23
Libia,0,4,0%,25.25
Moldavia,0,4,0%,28.75
Kuwait,0,4,0%,30.25
Montenegro,0,4,0%,32.75
Burkina Faso,0,3,0%,24.33
Albania,0,3,0%,32.67
Luxemburgo,0,3,0%,32.67
Trinidad y Tobago,0,3,0%,37.33
Qatar,0,3,0%,46.33
Malaui,0,3,0%,47.33
Costa de Marfil,0,3,0%,51
Jordania,0,2,0%,1.5
Eslovenia,0,2,0%,4.5
Ruanda,0,2,0%,6.5
Siria,0,2,0%,10
Islas Caimán,0,2,0%,12.5
Sudán,0,2,0%,13
Hong Kong,0,2,0%,14
Laos,0,2,0%,14
Senegal,0,2,0%,36.5
Kosovo,0,2,0%,50.5
Afganistán,0,2,0%,53
Togo,0,2,0%,64.5
Aruba,0,1,0%,1
Azerbaiyán,0,1,0%,1
Camerún,0,1,0%,1
Dominica,0,1,0%,1
Líbano,0,1,0%,1
Uganda,0,1,0%,1
Malta,0,1,0%,8
Chipre,0,1,0%,9
Madagascar,0,1,0%,11
China,0,1,0%,12
República Democrática del Congo,0,1,0%,12
Zambia,0,1,0%,15
Congo,0,1,0%,33
Reunión,0,1,0%,39
Mongolia,0,1,0%,47
Islas Vírgenes de los Estados Unidos,0,1,0%,51
Palestina,0,1,0%,67
Tanzania,0,1,0%,87
Namibia,0,1,0%,95
Papúa Nueva Guinea,0,1,0%,95
